SP;Nro Arb;COD;CIF;NOMBRE VULGAR;NOMBRE CIENTIFICO ;POM;X;Y;DAP;CD;HT;HC;ESTE;NORTE
1;1;;111;Parinari;Hirtella racemosa;;4.8;7.3;10;10 a 19.9;13.491;59.918;667123.8;9537351.3
1;2;;;Cumala blanca;Virola albidiflora;;2.66;3.6;13.6;10 a 19.9;1.467.144;8.937.392;667121.66;9537347.6
1;3;;;Tamamuri;Ophiocaryon klugii;;4.1;7.9;7.1;0 a 9.9;1.254.009;3.509.632;667123.1;9537351.9
1;4;;;Copal;Protium amazonicum;;3.3;8.4;6.8;0 a 9.9;1.244.172;3.247.288;667122.3;9537352.4
1;5;;111;Sapote del monte;Carpotroche longifolia;;1.68;4.6;9.2;0 a 9.9;1.322.868;5.316.808;667120.68;9537348.6
1;6;;111;Caimitillo;Pouteria guianensis;;3.1;2.2;29;20 a 29.9;197.211;198.409;667122.1;9537346.2
1;7;;131;Chimicua;Perebea guianensis;;4.8;2.6;12.9;10 a 19.9;1.444.191;8.376.412;667123.8;9537346.6
1;8;;;Tangarana;Nealchornea yapurensis;;5.26;2.4;11.9;10 a 19.9;1.411.401;7.565.152;667124.26;9537346.4
1;9;;;Cumala colorada;Virola calophylla;;5.5;5.3;10.2;10 a 19.9;1.355.658;6.159.388;667124.5;9537349.3
1;10;;;Ubos del monte;Sacoglottis ceratocarpa;;5.7;5.2;7.7;0 a 9.9;1.273.683;4.031.188;667124.7;9537349.2
1;11;;;Ojé;Naucleopsis glabra;;7.36;6.8;6;0 a 9.9;121.794;25.426;667126.36;9537350.8
1;12;;;Fariña caspi ;Sloanea floribunda;;5.5;8.6;26;20 a 29.9;1.933.924.761;1.166.250.542;667124.5;9537352.6
1;13;;411;Cashapona;Socratea exorrhiza;;9.8;3.5;5;0 a 9.9;118.515;16.513;667128.8;9537347.5
2;1;;111;Cumala;Iryanthera grandis;;18.64;6.8;8;0 a 9.9;128.352;42.904;667137.64;9537350.8
2;2;;;Machimango;Eschweilera grandifolia;;19;9.3;5.3;0 a 9.9;1.194.987;1.919.908;667138;9537353.3
2;3;;;Chimicua;Perebea guianensis;;18.48;10;12.9;10 a 19.9;1.444.191;8.376.412;667137.48;9537354
2;4;;;Shimbillo;Inga ruiziana;;13.2;8.7;19.7;10 a 19.9;153.823.431;1.173.636.817;667132.2;9537352.7
2;5;;;Sapote;Matisia malacocalyx;;14.6;8.2;11.5;10 a 19.9;1.398.285;72.374;667133.6;9537352.2
2;6;;;Guayabillo del monte;Rinorea viridifolia;;13.8;7.6;7.2;0 a 9.9;1.257.288;3.596.848;667132.8;9537351.6
2;7;;;Quinilla;Pouteria cladantha;;13;5.8;9.8;0 a 9.9;1.342.542;5.823.748;667132;9537349.8
2;9;;111;Urin huayo;Sloanea guianensis;;12.6;0.5;5.4;0 a 9.9;1.198.266;2.009.212;667131.6;9537344.5
2;10;;;Curarina;Strychnos solimoesana;;14.25;3.1;6.8;0 a 9.9;1.244.172;3.247.288;667133.25;9537347.1
2;11;;;Moena blanca;Nectandra longifolia;;16.9;0.8;30.9;30 a 39.9;2.536.783.515;1.815.910.721;667135.9;9537344.8
2;12;;;Rabo de mono;Heisteria acuminata;;16.78;2.6;7.6;0 a 9.9;1.270.404;3.944.552;667135.78;9537346.6
2;13;;;Cumala caupuri;Virola pavonis;;17.27;1.5;11.2;10 a 19.9;1.388.448;6.990.368;667136.27;9537345.5
2;14;;;Yutubanco;Tetrathylacium macrophyllum;;18.6;5.6;8;0 a 9.9;128.352;42.904;667137.6;9537349.6
2;15;;;Machimango blanco;Eschweilera coriacea;;17.65;4.9;32.1;30 a 39.9;2.054.421.449;1.718.275.109;667136.65;9537348.9
2;16;;;Chimicua;Perebea guianensis;;15.65;4.9;39.6;30 a 39.9;2.442.045.465;1.451.998.088;667134.65;9537348.9
3;1;;;Castaña amarga;Sterculia apetala;;20;6.1;15.8;10 a 19.9;1.539.282;10.663.468;667139;9537350.1
3;2;;;Carahuasca;Guatteria elata;;25;7;5.6;0 a 9.9;1.204.824;2.187.472;667144;9537351
3;3;;;Bushillo;Tachigali paniculata;;23.9;9;11.1;10 a 19.9;1.385.169;6.907.792;667142.9;9537353
3;4;;;Anonilla;Unonopsis veneficiorum;;21.2;8.6;6.9;0 a 9.9;1.247.451;3.334.852;667140.2;9537352.6
3;5;;;Pashaco;Zygia latifolia;;20.8;9;8.7;0 a 9.9;1.306.473;4.891.168;667139.8;9537353
3;6;;;Añallu caspi;Poecilanthe effusa;;22.1;7.2;6.6;0 a 9.9;1.237.614;3.071.812;667141.1;9537351.2
3;7;;;Copal;Protium calendulinum;;21.5;5.5;5;0 a 9.9;118.515;16.513;667140.5;9537349.5
3;8;;;Copal colorado ;Protium ferrugineum;;21.6;2.6;18.4;10 a 19.9;1.624.536;12.630.992;667140.6;9537346.6
3;9;;;Huacapusillo;Minquartia guianensis;;21.66;2.1;6.3;0 a 9.9;1.227.777;2.807.728;667140.66;9537346.1
3;10;;;Cumalilla;Virola elongata;1.37;20.75;0.4;6;0 a 9.9;121.794;25.426;667139.75;9537344.4
3;11;;;Quinilla;Micropholis casiquiarensis;;23.45;1.84;5.4;0 a 9.9;1.198.266;2.009.212;667142.45;9537345.84
3;12;;;Quinilla colorada;Micropholis egensis;;26.65;1.8;14.4;10 a 19.9;1.493.376;9.571.552;667145.65;9537345.8
3;13;;;Anonilla;Duguetia spixiana;;26.5;4.2;20.4;20 a 29.9;1.690.116;14.091.112;667145.5;9537348.2
3;14;;;Cumala;Otoba glycycarpa;;25.3;5.9;6.9;0 a 9.9;1.247.451;3.334.852;667144.3;9537349.9
4;1;;;Moena;Aniba hostmanniana;;36.8;4.9;5.7;0 a 9.9;1.208.103;2.276.428;667155.8;9537348.9
4;2;;;Pitón;Talisia macrophylla;;39.3;9.4;39.1;30 a 39.9;215.963.077;1.491.145.859;667158.3;9537353.4
4;3;;;Sapote;Matisia intricata;;34.3;8.1;11.9;10 a 19.9;1.411.401;7.565.152;667153.3;9537352.1
4;4;;;Machimango colorado;Eschweilera grandiflora;;35.5;7.3;7.7;0 a 9.9;1.273.683;4.031.188;667154.5;9537351.3
4;5;;;Hualaja;Zanthoxylum rhoifolium;;38;4.2;9.9;0 a 9.9;1.345.821;5.907.832;667157;9537348.2
4;6;;;Copal;Protium amazonicum;;33.1;6.3;8;0 a 9.9;128.352;42.904;667152.1;9537350.3
4;7;;;Requia;Guarea guidonia;;30.8;5.1;6.1;0 a 9.9;1.221.219;2.631.092;667149.8;9537349.1
4;8;;;Guayabillo del monte;Rinorea racemosa;;30.5;4.9;6.7;0 a 9.9;1.240.893;3.159.608;667149.5;9537348.9
4;9;;;Tangarana;Tachigali paniculata;;31.47;0.2;7;0 a 9.9;125.073;34.223;667150.47;9537344.2
4;10;;;Anonilla;Oxandra mediocris;;33.75;1;5.8;0 a 9.9;1.211.382;2.365.268;667152.75;9537345
4;11;;;Cedrillo;Trichilia tuberculata;;33.5;3.2;10.6;10 a 19.9;1.368.774;6.493.172;667152.5;9537347.2
4;12;;;Aguanillo;Pouteria guianensis;;34.2;5.5;42.8;40 a 49.9;1.860.760.685;1.498.724.859;667153.2;9537349.5
4;13;;;Cumala blanca;Virola calophylla;;35.3;5.5;6.8;0 a 9.9;1.244.172;3.247.288;667154.3;9537349.5
4;14;;;Anonilla;Cremastosperma cauliflorum;;36.35;2.9;6.2;0 a 9.9;1.224.498;2.719.468;667155.35;9537346.9
4;15;;;Cumala blanca;Virola calophylla;;38.15;3;14.9;10 a 19.9;1.249.774.628;9.825.434.649;667157.15;9537347
5;1;;;Moena;Sextonia pubescens;;49.1;5.9;12.2;10 a 19.9;1.421.238;7.809.748;667168.1;9537349.9
5;2;;;Aguanillo;Pouteria guianensis;;48.3;7.9;45;40 a 49.9;247.944.413;1.743.115.541;667167.3;9537351.9
5;3;;;Chimicua;Perebea guianensis;;43.25;8.1;14.5;10 a 19.9;1.496.655;96.503;667162.25;9537352.1
5;4;;;Isigo;Tapirira peckoltiana;;41.8;6.1;11;10 a 19.9;138.189;68.251;667160.8;9537350.1
5;5;;;Machimango;Eschweilera coriacea;;41.4;3.2;11.8;10 a 19.9;1.408.122;7.483.388;667160.4;9537347.2
5;6;;;Tamamuri;Leonia glycycarpa;;40.55;1.1;21.3;20 a 29.9;2.037.386.767;7.218.396.766;667159.55;9537345.1
5;7;;;Huito del monte;Randia armata;;42.97;3.8;9.2;0 a 9.9;1.322.868;5.316.808;667161.97;9537347.8
5;8;;;Carahuasca;Guatteria elata;;43.44;2.8;7.2;0 a 9.9;1.257.288;3.596.848;667162.44;9537346.8
5;9;;;Guayabillo del monte;Rinorea racemosa;;46.7;3.1;8.4;0 a 9.9;1.296.636;4.634.392;667165.7;9537347.1
5;10;;;Moena amarilla;Ocotea myriantha;;48.43;0.5;29.3;20 a 29.9;2.526.584.125;1.470.088.936;667167.43;9537344.5
5;11;;;Yutubanco;Guapira noxia;;48.55;3.9;23.5;20 a 29.9;1.791.765;162.626;667167.55;9537347.9
6;1;;;Achiotillo;Bixa orellana;;58.7;8.2;6.4;0 a 9.9;1.231.056;2.895.872;667177.7;9537352.2
6;2;;;Sapote del monte;Carpotroche longifolia;;56.2;9.2;15.2;10 a 19.9;1.519.608;10.198.288;667175.2;9537353.2
6;3;;;Peine de mono;Apeiba aspera;;56.4;8.2;44;40 a 49.9;2.215.355.671;1.124.445.777;667175.4;9537352.2
6;4;;;Requia;Guarea guidonia;;56;7.4;7.6;0 a 9.9;1.270.404;3.944.552;667175;9537351.4
6;5;;;Cumala;Virola duckei;;55.4;6.5;20;20 a 29.9;16.77;138.028;667174.4;9537350.5
6;6;;;Huacapusillo;Minquartia guianensis;;54.4;7.7;20;20 a 29.9;173.902.259;1.095.517.746;667173.4;9537351.7
6;7;;;Sacha quinilla;Manilkara bidentata;;53;8.3;18;10 a 19.9;161.142;123.334;667172;9537352.3
6;8;;;Fariña caspi ;Sloanea floribunda;;52.9;8.4;12;10 a 19.9;141.468;76.468;667171.9;9537352.4
6;9;;;Canilla de vieja;Duguetia spixiana;;52.4;9.1;7.6;0 a 9.9;1.270.404;3.944.552;667171.4;9537353.1
6;10;;;Canilla de vieja;Duguetia spixiana;;54.5;6.3;5.9;0 a 9.9;1.214.661;2.453.992;667173.5;9537350.3
6;11;;;Cumala;Virola duckei;;53.56;3.9;10.3;10 a 19.9;1.358.937;6.243.008;667172.56;9537347.9
6;12;;;Yutubanco;Drypetes nitida;;54.3;3.9;28.5;20 a 29.9;2.296.986.396;1.747.321.626;667173.3;9537347.9
6;13;;;Mullohuayo;Otoba parviflora;;58.1;1.9;43;40 a 49.9;2.825.915.308;2.226.598.017;667177.1;9537345.9
6;14;;;Cumala;Virola duckei;;57.1;0.3;12;10 a 19.9;141.468;76.468;667176.1;9537344.3
6;15;;;Cafecillo del monte;Faramea glandulosa;;55.64;0.28;6.7;0 a 9.9;1.240.893;3.159.608;667174.64;9537344.28
6;16;;;Cumala;Virola duckei;;55.99;3.1;5.9;0 a 9.9;1.214.661;2.453.992;667174.99;9537347.1
7;1;;;Copal;Protium amazonicum;;69.99;9.5;11.6;10 a 19.9;1.401.564;7.319.512;667188.99;9537353.5
7;2;;;Requia;Guarea pubescens;;66.15;8.1;6.5;0 a 9.9;1.234.335;29.839;667185.15;9537352.1
7;3;;;Pashaco;Zygia latifolia;;64.25;9.6;10.3;10 a 19.9;1.358.937;6.243.008;667183.25;9537353.6
7;4;;;Shimbillo;Inga ruiziana;;61.4;7;14.7;10 a 19.9;1.727.301.146;9.528.464.333;667180.4;9537351
7;5;;;Guayabillo;Calyptranthes macrophylla;;61.55;2.8;7;0 a 9.9;125.073;34.223;667180.55;9537346.8
7;6;;;Requia;Guarea pterorhachis;;62.87;1.2;10.5;10 a 19.9;1.365.495;64.099;667181.87;9537345.2
7;7;;;Copal;Protium divaricatum;;63.18;0.4;5.3;0 a 9.9;1.194.987;1.919.908;667182.18;9537344.4
7;8;;;Copal;Protium amazonicum;1.55;64.15;2.8;21.1;20 a 29.9;1.810.754.694;1.190.562.048;667183.15;9537346.8
7;9;;;Chimicua;Perebea guianensis;;63.85;3.7;13.8;10 a 19.9;1.473.702;9.096.628;667182.85;9537347.7
7;10;;;Yacushapana;Terminalia corrugata;;64.4;4.4;5.6;0 a 9.9;1.204.824;2.187.472;667183.4;9537348.4
7;11;;;Cumala;Otoba glycycarpa;;64.93;2.6;8.7;0 a 9.9;1.306.473;4.891.168;667183.93;9537346.6
7;12;;;Metohuayo;Caryodendron orinocense;;66.1;2.6;6.7;0 a 9.9;1.240.893;3.159.608;667185.1;9537346.6
7;13;;;Urin huayo;Sloanea durissima;;66.65;1.7;7.5;0 a 9.9;1.267.125;38.578;667185.65;9537345.7
7;14;;;Quinilla;Ecclinusa ramiflora;;68.5;0.8;5.4;0 a 9.9;1.198.266;2.009.212;667187.5;9537344.8
7;15;;;Requia;Guarea pubescens;;69.73;2.1;7.8;0 a 9.9;1.276.962;4.117.708;667188.73;9537346.1
7;16;;;Requia;Guarea grandiflora;;68.7;4.1;6.5;0 a 9.9;1.234.335;29.839;667187.7;9537348.1
7;17;;;Cumala blanca;Virola albidiflora;;69;6;24.5;20 a 29.9;1.990.114.057;1.718.515.478;667188;9537350
7;18;;;Lúcuma del monte;Mouriri myrtifolia;;67.35;4.4;10.8;10 a 19.9;1.375.332;6.659.368;667186.35;9537348.4
7;19;;;Yutubanco;Drypetes nitida;;66.96;4.2;5.5;0 a 9.9;1.201.545;20.984;667185.96;9537348.2
7;20;;;Cedrillo;Trichilia septentrionalis;;66.5;4.9;40;40 a 49.9;228.057.935;1.734.840.757;667185.5;9537348.9
7;21;;;Yutubanco;Guapira noxia;;65.45;6.7;9.1;0 a 9.9;1.319.589;5.231.912;667184.45;9537350.7
7;22;;;Requia;Guarea purusana;;63.9;5;5.3;0 a 9.9;1.194.987;1.919.908;667182.9;9537349
8;1;;;Carahuasca;Guatteria boliviana;;78.65;7.1;6.9;0 a 9.9;1.247.451;3.334.852;667197.65;9537351.1
8;2;;;Chimicua;Perebea guianensis;;78.45;8.7;26;20 a 29.9;2.146.979.841;127.570.789;667197.45;9537352.7
8;3;;;Caimitillo;Chrysophyllum colombianum;;76.3;7.7;5.3;0 a 9.9;1.194.987;1.919.908;667195.3;9537351.7
8;4;;;Chimicua;Perebea guianensis;;72.8;7.5;13.4;10 a 19.9;1.460.586;8.777.692;667191.8;9537351.5
8;5;;;Quinilla;Pouteria bilocularis;;70.43;8.2;16.3;10 a 19.9;1.555.677;11.047.928;667189.43;9537352.2
8;6;;;Moena;Ocotea olivacea;;71.3;4;7;0 a 9.9;125.073;34.223;667190.3;9537348
8;7;;;Caimitillo;Helicostylis scabra;;71.95;3.1;7.7;0 a 9.9;1.273.683;4.031.188;667190.95;9537347.1
8;8;;;Tangarana;Nealchornea yapurensis;;73.8;1.9;9.9;0 a 9.9;1.345.821;5.907.832;667192.8;9537345.9
8;9;;;Añallu caspi;Swartzia racemosa;;73.15;2.9;7.5;0 a 9.9;1.267.125;38.578;667192.15;9537346.9
8;10;;;Chimicua;Perebea xanthochyma;;73.15;3;18.7;10 a 19.9;1.634.373;12.852.968;667192.15;9537347
